APICE
APOLLOSA
BARTOLOMEO IN GALDO
BASELICE
BENEVENTO
BONEA
BUCCIANO
CALVI
CAMPOLATTARO
CASALDUNI
CASTELVENERE
CASTELVETERE FORTORE
CAUTANO
CIRCELLO
COLLE SANNITA
DUGENTA
DURAZZANO
FOGLIANISE
FOIANO DI VAL FORTORE
FRAGNETO MONFORTE
LIMATOLA
MELIZZANO
MOLINARA
MONTESARCHIO
PAGO VEIANO
PESCO SANNITA
PIETRELCINA
PIETRAROJA
PONTE
PONTELANDOLFO
PUGLIANELLO
REINO
S.ARCANGELO TRIMONTE
SAN LEUCIO DEL SANNIO
S. GIORGIO DEL SANNIO
S. GIORGIO LA MOLARA
SAN LORENZO MAGGIORE
SAN LORENZELLO
S. MARTINO SANNITA
SAN NAZZARO
S. SALVATORE TELESINO
SANT'AGATA DE' GOTI
SOLOPACA
TOCCO CAUDIO
TORRECUSO
VITULANO
